,xc,yc,width,height,xmin,xmax,ymin,ymax,yolo_conf,line,line_pos,char,resnet_confidence
0,188,232,51,51,162,214,206,258,0.6765263081,0,0,Nu,0.9191009
1,140,232,52,48,114,166,208,257,0.7690322399,0,1,Nu,0.99999475
2,97,233,40,38,77,117,213,252,0.7992855310000001,0,2,Gamma,0.9556267
3,62,233,46,41,38,85,212,253,0.6878753304,0,3,Epsilon,1.0
4,159,177,50,45,134,185,154,200,0.8393186927,1,0,Eta,1.0
5,116,179,43,41,95,138,159,200,0.8218764067000001,1,1,Tau,1.0
6,82,177,42,37,61,103,158,196,0.7241230607,1,2,Epsilon,1.0
7,43,173,46,42,20,66,152,194,0.7376975417,1,3,Delta,1.0
8,165,124,49,48,140,190,99,148,0.32552644610000003,2,0,Iota,0.96991885
9,126,122,42,45,105,148,100,145,0.8340975642,2,1,Eta,1.0
10,85,125,40,42,65,106,103,146,0.7864090204,2,2,Tau,1.0
11,37,124,55,46,10,65,100,147,0.7893539071,2,3,Eta,1.0
12,143,69,34,39,126,161,49,88,0.3379092515,3,0,Lambda,0.8859517
13,127,19,53,39,100,154,0,39,0.5492824316,3,1,Alpha,0.9999994
14,117,68,36,42,99,135,47,89,0.6978635192,3,2,Epsilon,0.9998079
15,83,69,39,43,64,103,47,91,0.5075694323000001,3,3,Mu,0.99999976
16,78,21,53,41,51,105,0,42,0.5205124617,3,4,Iota,0.39266917
17,47,62,46,41,23,70,41,83,0.3679899573,3,5,Iota,0.81286496
18,25,25,40,40,170,65,38,65,1.0,3,6,Kappa,0.94453114
